,n_clusters,silhouette_avg
0,2,0.8091452657772257
1,3,0.7221946411912421
2,4,0.6435580240692739
3,5,0.6297147793188829
4,6,0.6575874091133492
5,7,0.6942939597859352
6,8,0.7286978544536779
7,9,0.7350087490927465
8,10,0.7514102473825808
9,11,0.7591853010508798
10,12,0.7803445898922032
11,13,0.8278863446822222
12,14,0.8451929778581159
13,15,0.8634362629701201
14,16,0.8684462956111662
15,17,0.8842014706472417
16,18,0.8910401421343863
17,19,0.905762608008065
18,20,0.9170377707889223
19,21,0.9220358408969862
20,22,0.9334979520344585
21,23,0.9373052041494414
22,24,0.9440581803221257
23,25,0.9506519149853325
24,26,0.953786775082667
25,27,0.9569623199061538
26,28,0.9559867754331387
27,29,0.9636325379480407
28,30,0.9682685921062678
29,31,0.9755245810381583
30,32,0.9775739367026144
31,33,0.9789326447795474
32,34,0.9808604095695314
33,35,0.9828300332212867
34,36,0.9848505172951216
35,37,0.9866077696442491
36,38,0.9871086943763439
37,39,0.9878312642663891
38,40,0.9883443007342138
39,41,0.9888576477568011
40,42,0.9892206389175743
41,43,0.9897339859401616
42,44,0.9903344829955102
43,45,0.9908478300180974
44,46,0.9913611770406847
45,47,0.9918745240632719
46,48,0.992299794661191
47,49,0.9928131416837782
48,50,0.9928131416837782
